company_id,detailsId,period,status,message
11712304,,2024,SKIP,parse_company_year_json returned None
11712552,,2022,SKIP,parse_company_year_json returned None
11712552,,2023,SKIP,parse_company_year_json returned None
11712552,,2024,OK,
11713491,,2022,OK,
11713491,,2023,OK,
11702616,,2022,OK,
11702616,,2023,OK,
11702616,,2024,OK,
11708239,,2022,SKIP,parse_company_year_json returned None
11708239,,2023,SKIP,parse_company_year_json returned None
11708239,,2024,SKIP,parse_company_year_json returned None
11711552,,2022,SKIP,parse_company_year_json returned None
11711552,,2023,OK,
11711552,,2024,OK,
11711555,,2022,OK,
11711555,,2023,OK,
11711555,,2024,OK,
11712304,,2022,OK,
11712304,,2023,OK,
11712304,,2024,SKIP,parse_company_year_json returned None
11712552,,2022,SKIP,parse_company_year_json returned None
11712552,,2023,SKIP,parse_company_year_json returned None
11712552,,2024,OK,
11713491,,2022,OK,
11713491,,2023,OK,
11702616,,2022,OK,
11702616,,2023,OK,
11702616,,2024,OK,
11708239,,2022,SKIP,parse_company_year_json returned None
11708239,,2023,SKIP,parse_company_year_json returned None
11708239,,2024,SKIP,parse_company_year_json returned None
11711552,,2022,SKIP,parse_company_year_json returned None
11711552,,2023,OK,
11711552,,2024,OK,
11711555,,2022,OK,
11711555,,2023,OK,
11711555,,2024,OK,
11712304,,2022,OK,
11712304,,2023,OK,
11712304,,2024,SKIP,parse_company_year_json returned None
11712552,,2022,SKIP,parse_company_year_json returned None
11712552,,2023,SKIP,parse_company_year_json returned None
11712552,,2024,OK,
11713491,,2022,OK,
11713491,,2023,OK,
11702616,,2022,OK,
11702616,,2023,OK,
11702616,,2024,OK,
11708239,,2022,SKIP,parse_company_year_json returned None
11708239,,2023,SKIP,parse_company_year_json returned None
11708239,,2024,SKIP,parse_company_year_json returned None
11711552,,2022,SKIP,parse_company_year_json returned None
11711552,,2023,OK,
11711552,,2024,OK,
11711555,,2022,OK,
11711555,,2023,OK,
11711555,,2024,OK,
11712304,,2022,OK,
11712304,,2023,OK,
11712304,,2024,SKIP,parse_company_year_json returned None
11712552,,2022,SKIP,parse_company_year_json returned None
11712552,,2023,SKIP,parse_company_year_json returned None
11712552,,2024,OK,
11713491,,2022,OK,
11713491,,2023,OK,
8906845,,2022,OK,
8906845,,2023,OK,
8906845,,2024,OK,
10493469,,2022,OK,
10493469,,2023,OK,
10493469,,2024,OK,
9183463,,2022,OK,
9183463,,2023,OK,
9183463,,2024,OK,
9949333,,2022,OK,
8906845,,2022,OK,
8906845,,2023,OK,
8906845,,2024,OK,
10493469,,2022,OK,
10493469,,2023,OK,
10493469,,2024,OK,
9183463,,2022,OK,
9183463,,2023,OK,
9183463,,2024,OK,
9949333,,2022,OK,
8906845,,2022,OK,
8906845,,2023,OK,
8906845,,2024,OK,
10493469,,2022,OK,
10493469,,2023,OK,
10493469,,2024,OK,
9183463,,2022,OK,
9183463,,2023,OK,
9183463,,2024,OK,
9949333,,2022,OK,
9949333,,2023,OK,
9949333,,2024,OK,
108455,,2022,SKIP,parse_company_year_json returned None
108455,,2023,SKIP,parse_company_year_json returned None
108455,,2024,SKIP,parse_company_year_json returned None
10558143,,2022,SKIP,parse_company_year_json returned None
10558143,,2023,SKIP,parse_company_year_json returned None
10558143,,2024,OK,
1955217,,2022,OK,
1955217,,2023,OK,
1955217,,2024,OK,
2892226,,2022,OK,
2892226,,2023,OK,
2892226,,2024,OK,
1331711,,2022,OK,
1331711,,2023,OK,
1331711,,2024,OK,
9769498,,2022,OK,
9769498,,2023,OK,
9769498,,2024,OK,
9001815,,2022,OK,
9001815,,2023,SKIP,parse_company_year_json returned None
9001815,,2024,SKIP,parse_company_year_json returned None
11842082,,2022,OK,
11842082,,2023,OK,
11842082,,2024,OK,
969246,,2022,OK,
969246,,2023,OK,
969246,,2024,OK,
11671184,,2022,SKIP,parse_company_year_json returned None
11671184,,2023,SKIP,parse_company_year_json returned None
11671184,,2024,SKIP,parse_company_year_json returned None
11206337,,2022,OK,
11206337,,2023,OK,
11206337,,2024,OK,
9968974,,2022,SKIP,parse_company_year_json returned None
9968974,,2023,SKIP,parse_company_year_json returned None
9968974,,2024,SKIP,parse_company_year_json returned None
7146240,,2022,OK,
7146240,,2023,OK,
7146240,,2024,OK,
5838479,,2022,SKIP,parse_company_year_json returned None
5838479,,2023,OK,
5838479,,2024,SKIP,parse_company_year_json returned None
11379190,,2022,OK,
11379190,,2023,OK,
